Institution Name,City,State,Website,Domain,Clearbit Logo URL
Alabama A & M University (AAMU),Normal,Alabama (AL),https://www.aamu.edu/,aamu.edu,https://logo.clearbit.com/aamu.edu
University of Alabama at Birmingham (UAB),Birmingham,Alabama (AL),https://www.uab.edu/,uab.edu,https://logo.clearbit.com/uab.edu
Amridge University (AU),Montgomery,Alabama (AL),https://www.amridgeuniversity.edu/,amridgeuniversity.edu,https://logo.clearbit.com/amridgeuniversity.edu
University of Alabama in Huntsville (UAIH),Huntsville,Alabama (AL),https://www.uah.edu/,uah.edu,https://logo.clearbit.com/uah.edu
Alabama State University (ASU),Montgomery,Alabama (AL),https://www.alasu.edu/,alasu.edu,https://logo.clearbit.com/alasu.edu
University of Alabama System Office (UASO),Tuscaloosa,Alabama (AL),https://www.uasystem.edu/,uasystem.edu,https://logo.clearbit.com/uasystem.edu
The University of Alabama (TUA),Tuscaloosa,Alabama (AL),https://www.ua.edu/,ua.edu,https://logo.clearbit.com/ua.edu
Central Alabama Community College (CACC),Alexander City,Alabama (AL),https://www.cacc.edu/,cacc.edu,https://logo.clearbit.com/cacc.edu
Athens State University (ASU),Athens,Alabama (AL),https://www.athens.edu/,athens.edu,https://logo.clearbit.com/athens.edu
Auburn University at Montgomery (AUM),Montgomery,Alabama (AL),https://www.aum.edu/,aum.edu,https://logo.clearbit.com/aum.edu
Auburn University (AU),Auburn,Alabama (AL),https://www.auburn.edu/,auburn.edu,https://logo.clearbit.com/auburn.edu
Birmingham-Southern College (BC),Birmingham,Alabama (AL),https://www.bsc.edu/,bsc.edu,https://logo.clearbit.com/bsc.edu
Chattahoochee Valley Community College (CVCC),Phenix City,Alabama (AL),https://www.cv.edu/,cv.edu,https://logo.clearbit.com/cv.edu
South University-Montgomery (SU),Montgomery,Alabama (AL),https://www.southuniversity.edu/,southuniversity.edu,https://logo.clearbit.com/southuniversity.edu
Enterprise State Community College (ESCC),Enterprise,Alabama (AL),https://www.escc.edu/,escc.edu,https://logo.clearbit.com/escc.edu
Coastal Alabama Community College (CACC),Bay Minette,Alabama (AL),https://www.coastalalabama.edu/,coastalalabama.edu,https://logo.clearbit.com/coastalalabama.edu
Faulkner University (FU),Montgomery,Alabama (AL),https://www.faulkner.edu/,faulkner.edu,https://logo.clearbit.com/faulkner.edu
Gadsden State Community College (GSCC),Gadsden,Alabama (AL),https://www.gadsdenstate.edu/,gadsdenstate.edu,https://logo.clearbit.com/gadsdenstate.edu
New Beginning College of Cosmetology (NBCC),Albertville,Alabama (AL),https://www.nbccosmetology.com/,nbccosmetology.com,https://logo.clearbit.com/nbccosmetology.com
George C Wallace Community College-Dothan (GCWCC),Dothan,Alabama (AL),https://www.wallace.edu/,wallace.edu,https://logo.clearbit.com/wallace.edu
George C Wallace State Community College-Hanceville (GCWSCC),Hanceville,Alabama (AL),https://www.wallacestate.edu/,wallacestate.edu,https://logo.clearbit.com/wallacestate.edu
George C Wallace State Community College-Selma (GCWSCC),Selma,Alabama (AL),https://www.wccs.edu/,wccs.edu,https://logo.clearbit.com/wccs.edu
Herzing University-Birmingham (HU),Birmingham,Alabama (AL),https://www.herzing.edu/,herzing.edu,https://logo.clearbit.com/herzing.edu
Huntingdon College (HC),Montgomery,Alabama (AL),https://www.huntingdon.edu/,huntingdon.edu,https://logo.clearbit.com/huntingdon.edu
Heritage Christian University (HCU),Florence,Alabama (AL),https://www.hcu.edu/,hcu.edu,https://logo.clearbit.com/hcu.edu
J. F. Drake State Community and Technical College (JFDSCTC),Huntsville,Alabama (AL),https://drakestate.edu/,drakestate.edu,https://logo.clearbit.com/drakestate.edu
J F Ingram State Technical College (JFISTC),Deatsville,Alabama (AL),https://www.istc.edu/,istc.edu,https://logo.clearbit.com/istc.edu
Jacksonville State University (JSU),Jacksonville,Alabama (AL),https://www.jsu.edu/,jsu.edu,https://logo.clearbit.com/jsu.edu
Jefferson State Community College (JSCC),Birmingham,Alabama (AL),https://www.jeffersonstate.edu/,jeffersonstate.edu,https://logo.clearbit.com/jeffersonstate.edu
John C Calhoun State Community College (JCCSCC),Tanner,Alabama (AL),https://calhoun.edu/,calhoun.edu,https://logo.clearbit.com/calhoun.edu
Lawson State Community College (LSCC),Birmingham,Alabama (AL),https://www.lawsonstate.edu/,lawsonstate.edu,https://logo.clearbit.com/lawsonstate.edu
University of West Alabama (UWA),Livingston,Alabama (AL),https://www.uwa.edu/,uwa.edu,https://logo.clearbit.com/uwa.edu
Lurleen B Wallace Community College (LBWCC),Andalusia,Alabama (AL),https://www.lbwcc.edu/,lbwcc.edu,https://logo.clearbit.com/lbwcc.edu
Marion Military Institute (MMI),Marion,Alabama (AL),https://www.marionmilitary.edu/,marionmilitary.edu,https://logo.clearbit.com/marionmilitary.edu
Miles College (MC),Fairfield,Alabama (AL),https://www.miles.edu/,miles.edu,https://logo.clearbit.com/miles.edu
University of Mobile (UM),Mobile,Alabama (AL),https://www.umobile.edu/,umobile.edu,https://logo.clearbit.com/umobile.edu
University of Montevallo (UM),Montevallo,Alabama (AL),https://www.montevallo.edu/,montevallo.edu,https://logo.clearbit.com/montevallo.edu
Northwest Shoals Community College (NSCC),Muscle Shoals,Alabama (AL),https://www.nwscc.edu/,nwscc.edu,https://logo.clearbit.com/nwscc.edu
University of North Alabama (UNA),Florence,Alabama (AL),https://www.una.edu/,una.edu,https://logo.clearbit.com/una.edu
Northeast Alabama Community College (NACC),Rainsville,Alabama (AL),https://www.nacc.edu/,nacc.edu,https://logo.clearbit.com/nacc.edu
Oakwood University (OU),Huntsville,Alabama (AL),https://www2.oakwood.edu/,www2.oakwood.edu,https://logo.clearbit.com/www2.oakwood.edu
Reid State Technical College (RSTC),Evergreen,Alabama (AL),https://www.rstc.edu/,rstc.edu,https://logo.clearbit.com/rstc.edu
Bishop State Community College (BSCC),Mobile,Alabama (AL),https://www.bishop.edu/,bishop.edu,https://logo.clearbit.com/bishop.edu
Samford University (SU),Birmingham,Alabama (AL),https://www.samford.edu/,samford.edu,https://logo.clearbit.com/samford.edu
Selma University (SU),Selma,Alabama (AL),https://selmau.edu/,selmau.edu,https://logo.clearbit.com/selmau.edu
Shelton State Community College (SSCC),Tuscaloosa,Alabama (AL),https://www.sheltonstate.edu/,sheltonstate.edu,https://logo.clearbit.com/sheltonstate.edu
Snead State Community College (SSCC),Boaz,Alabama (AL),https://www.snead.edu/,snead.edu,https://logo.clearbit.com/snead.edu
University of South Alabama (USA),Mobile,Alabama (AL),https://www.southalabama.edu/,southalabama.edu,https://logo.clearbit.com/southalabama.edu
Spring Hill College (SHC),Mobile,Alabama (AL),https://www.shc.edu/,shc.edu,https://logo.clearbit.com/shc.edu
Stillman College (SC),Tuscaloosa,Alabama (AL),https://stillman.edu/,stillman.edu,https://logo.clearbit.com/stillman.edu
Talladega College (TC),Talladega,Alabama (AL),https://www.talladega.edu/,talladega.edu,https://logo.clearbit.com/talladega.edu
H Councill Trenholm State Community College (HCTSCC),Montgomery,Alabama (AL),https://www.trenholmstate.edu/,trenholmstate.edu,https://logo.clearbit.com/trenholmstate.edu
Troy University (TU),Troy,Alabama (AL),https://www.troy.edu/,troy.edu,https://logo.clearbit.com/troy.edu
Tuskegee University (TU),Tuskegee,Alabama (AL),https://www.tuskegee.edu/,tuskegee.edu,https://logo.clearbit.com/tuskegee.edu
United States Sports Academy (USSA),Daphne,Alabama (AL),https://www.ussa.edu/,ussa.edu,https://logo.clearbit.com/ussa.edu
Bevill State Community College (BSCC),Jasper,Alabama (AL),https://www.bscc.edu/,bscc.edu,https://logo.clearbit.com/bscc.edu
University of Alaska Anchorage (UAA),Anchorage,Alaska (AK),https://www.uaa.alaska.edu/,uaa.alaska.edu,https://logo.clearbit.com/uaa.alaska.edu
Alaska Bible College (ABC),Palmer,Alaska (AK),https://www.akbible.edu/,akbible.edu,https://logo.clearbit.com/akbible.edu
University of Alaska Fairbanks (UAF),Fairbanks,Alaska (AK),https://www.uaf.edu/,uaf.edu,https://logo.clearbit.com/uaf.edu
University of Alaska Southeast (UAS),Juneau,Alaska (AK),https://www.uas.alaska.edu/,uas.alaska.edu,https://logo.clearbit.com/uas.alaska.edu
Alaska Pacific University (APU),Anchorage,Alaska (AK),https://www.alaskapacific.edu/,alaskapacific.edu,https://logo.clearbit.com/alaskapacific.edu
Alaska Vocational Technical Center (AVTC),Seward,Alaska (AK),https://www.avtec.edu/,avtec.edu,https://logo.clearbit.com/avtec.edu
Charter College (CC),Anchorage,Alaska (AK),https://chartercollege.edu/,chartercollege.edu,https://logo.clearbit.com/chartercollege.edu
Alaska Career College (ACC),Anchorage,Alaska (AK),https://www.alaskacareercollege.edu/,alaskacareercollege.edu,https://logo.clearbit.com/alaskacareercollege.edu
University of Alaska System of Higher Education (UASHE),Fairbanks,Alaska (AK),https://www.alaska.edu/,alaska.edu,https://logo.clearbit.com/alaska.edu
Empire Beauty School-Tucson (EBS),Tucson,Arizona (AZ),https://www.empire.edu/,empire.edu,https://logo.clearbit.com/empire.edu
Carrington College-Phoenix North (CCN),Phoenix,Arizona (AZ),https://carrington.edu/,carrington.edu,https://logo.clearbit.com/carrington.edu
Arizona Academy of Beauty (AAB),Tucson,Arizona (AZ),https://www.arizonaacademy.com/,arizonaacademy.com,https://logo.clearbit.com/arizonaacademy.com
Miller-Motte College-Arizona Automotive Institute (MCAI),Glendale,Arizona (AZ),https://www.aai.edu/,aai.edu,https://logo.clearbit.com/aai.edu
Brookline College-Phoenix (BC),Phoenix,Arizona (AZ),https://www.brooklinecollege.edu/,brooklinecollege.edu,https://logo.clearbit.com/brooklinecollege.edu
Arizona State University Campus Immersion (ASUCI),Tempe,Arizona (AZ),https://www.asu.edu/,asu.edu,https://logo.clearbit.com/asu.edu
Arizona Western College (AWC),Yuma,Arizona (AZ),https://www.azwestern.edu/,azwestern.edu,https://logo.clearbit.com/azwestern.edu
University of Arizona (UA),Tucson,Arizona (AZ),https://www.arizona.edu/,arizona.edu,https://logo.clearbit.com/arizona.edu
Central Arizona College (CAC),Coolidge,Arizona (AZ),https://www.centralaz.edu/,centralaz.edu,https://logo.clearbit.com/centralaz.edu
Charles of Italy Beauty College (CIBC),Lake Havasu City,Arizona (AZ),https://www.charlesofitaly.edu/,charlesofitaly.edu,https://logo.clearbit.com/charlesofitaly.edu
Cochise County Community College District (CCCCD),Sierra Vista,Arizona (AZ),https://www.cochise.edu/,cochise.edu,https://logo.clearbit.com/cochise.edu
Avalon Institute-Mesa (AI),Mesa,Arizona (AZ),https://avalon.edu/mesa-az/,avalon.edu,https://logo.clearbit.com/avalon.edu
Eastern Arizona College (EAC),Thatcher,Arizona (AZ),https://www.eac.edu/,eac.edu,https://logo.clearbit.com/eac.edu
Embry-Riddle Aeronautical University-Prescott (EAU),Prescott,Arizona (AZ),https://prescott.erau.edu/,prescott.erau.edu,https://logo.clearbit.com/prescott.erau.edu
The School of Architecture (TSA),Scottsdale,Arizona (AZ),https://tsoa.edu/,tsoa.edu,https://logo.clearbit.com/tsoa.edu
Glendale Community College (GCC),Glendale,Arizona (AZ),https://www.gccaz.edu/,gccaz.edu,https://logo.clearbit.com/gccaz.edu
Grand Canyon University (GCU),Phoenix,Arizona (AZ),https://www.gcu.edu/,gcu.edu,https://logo.clearbit.com/gcu.edu
Maricopa Community College System Office (MCCSO),Tempe,Arizona (AZ),https://www.maricopa.edu/,maricopa.edu,https://logo.clearbit.com/maricopa.edu
GateWay Community College (GCC),Phoenix,Arizona (AZ),https://www.gatewaycc.edu/,gatewaycc.edu,https://logo.clearbit.com/gatewaycc.edu
Mesa Community College (MCC),Mesa,Arizona (AZ),https://www.mesacc.edu/,mesacc.edu,https://logo.clearbit.com/mesacc.edu
Mohave Community College (MCC),Kingman,Arizona (AZ),https://www.mohave.edu/,mohave.edu,https://logo.clearbit.com/mohave.edu
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division (UTIAIMID),Avondale,Arizona (AZ),https://www.uti.edu/,uti.edu,https://logo.clearbit.com/uti.edu
Dine College (DC),Tsaile,Arizona (AZ),https://www.dinecollege.edu/,dinecollege.edu,https://logo.clearbit.com/dinecollege.edu
Northern Arizona University (NAU),Flagstaff,Arizona (AZ),https://nau.edu/,nau.edu,https://logo.clearbit.com/nau.edu
Northland Pioneer College (NPC),Holbrook,Arizona (AZ),https://www.npc.edu/,npc.edu,https://logo.clearbit.com/npc.edu
Phoenix College (PC),Phoenix,Arizona (AZ),https://www.phoenixcollege.edu/,phoenixcollege.edu,https://logo.clearbit.com/phoenixcollege.edu
Pima Community College (PCC),Tucson,Arizona (AZ),https://www.pima.edu/,pima.edu,https://logo.clearbit.com/pima.edu
Pima Medical Institute-Tucson (PMI),Tucson,Arizona (AZ),https://pmi.edu/,pmi.edu,https://logo.clearbit.com/pmi.edu
Prescott College (PC),Prescott,Arizona (AZ),https://prescott.edu/,prescott.edu,https://logo.clearbit.com/prescott.edu
Refrigeration School Inc (RSI),Phoenix,Arizona (AZ),https://www.rsi.edu/,rsi.edu,https://logo.clearbit.com/rsi.edu
Rio Salado College (RSC),Tempe,Arizona (AZ),https://www.rio.maricopa.edu/,rio.maricopa.edu,https://logo.clearbit.com/rio.maricopa.edu
Roberto-Venn School of Luthiery (RSL),Phoenix,Arizona (AZ),https://www.roberto-venn.com/,roberto-venn.com,https://logo.clearbit.com/roberto-venn.com
Scottsdale Community College (SCC),Scottsdale,Arizona (AZ),https://www.scottsdalecc.edu/,scottsdalecc.edu,https://logo.clearbit.com/scottsdalecc.edu
South Mountain Community College (SMCC),Phoenix,Arizona (AZ),https://www.southmountaincc.edu/,southmountaincc.edu,https://logo.clearbit.com/southmountaincc.edu
Arizona Christian University (ACU),Glendale,Arizona (AZ),https://arizonachristian.edu/,arizonachristian.edu,https://logo.clearbit.com/arizonachristian.edu
Yavapai College (YC),Prescott,Arizona (AZ),https://www.yc.edu/,yc.edu,https://logo.clearbit.com/yc.edu
University of Arkansas at Little Rock (UALR),Little Rock,Arkansas (AR),https://ualr.edu/www/,ualr.edu,https://logo.clearbit.com/ualr.edu
University of Arkansas for Medical Sciences (UAFMS),Little Rock,Arkansas (AR),https://www.uams.edu/,uams.edu,https://logo.clearbit.com/uams.edu
Arkansas Baptist College (ABC),Little Rock,Arkansas (AR),https://www.arkansasbaptist.edu/,arkansasbaptist.edu,https://logo.clearbit.com/arkansasbaptist.edu
Arkansas Beauty School-Little Rock (ABSR),Little Rock,Arkansas (AR),https://arbs.edu/,arbs.edu,https://logo.clearbit.com/arbs.edu
Arkansas Beauty College (ABC),Russellville,Arkansas (AR),https://www.arkansasbeautycollege.us/,arkansasbeautycollege.us,https://logo.clearbit.com/arkansasbeautycollege.us
Lyon College (LC),Batesville,Arkansas (AR),https://www.lyon.edu/,lyon.edu,https://logo.clearbit.com/lyon.edu
Arkansas Technical School (ATS),North Little Rock,Arkansas (AR),https://www.arktech.edu/,arktech.edu,https://logo.clearbit.com/arktech.edu
Arthur's Beauty College (ABC),Fort Smith,Arkansas (AR),https://www.arthursbeautycollege.com/,arthursbeautycollege.com,https://logo.clearbit.com/arthursbeautycollege.com
University of Arkansas (UA),Fayetteville,Arkansas (AR),https://www.uark.edu/,uark.edu,https://logo.clearbit.com/uark.edu
University of Arkansas at Pine Bluff (UAPB),Pine Bluff,Arkansas (AR),https://www.uapb.edu/,uapb.edu,https://logo.clearbit.com/uapb.edu
Arkansas State University-Beebe (ASU),Beebe,Arkansas (AR),https://www.asub.edu/,asub.edu,https://logo.clearbit.com/asub.edu
Arkansas State University (ASU),Jonesboro,Arkansas (AR),https://www.astate.edu/,astate.edu,https://logo.clearbit.com/astate.edu
Arkansas Tech University (ATU),Russellville,Arkansas (AR),https://www.atu.edu/,atu.edu,https://logo.clearbit.com/atu.edu
University of Arkansas at Monticello (UAM),Monticello,Arkansas (AR),https://www.uamont.edu/,uamont.edu,https://logo.clearbit.com/uamont.edu
Baptist Health College Little Rock (BHCLR),Little Rock,Arkansas (AR),https://www.bhclr.edu/,bhclr.edu,https://logo.clearbit.com/bhclr.edu
Black River Technical College (BRTC),Pocahontas,Arkansas (AR),https://www.blackrivertech.edu/,blackrivertech.edu,https://logo.clearbit.com/blackrivertech.edu
University of Central Arkansas (UCA),Conway,Arkansas (AR),https://www.uca.edu/,uca.edu,https://logo.clearbit.com/uca.edu
Central Baptist College (CBC),Conway,Arkansas (AR),https://www.cbc.edu/,cbc.edu,https://logo.clearbit.com/cbc.edu
Cossatot Community College of the University of Arkansas (CCCTUA),De Queen,Arkansas (AR),https://www.cccua.edu/,cccua.edu,https://logo.clearbit.com/cccua.edu
Crowley's Ridge College (CRC),Paragould,Arkansas (AR),https://www.crc.edu/,crc.edu,https://logo.clearbit.com/crc.edu
East Arkansas Community College (EACC),Forrest City,Arkansas (AR),https://www.eacc.edu/,eacc.edu,https://logo.clearbit.com/eacc.edu
Paul Mitchell the School-Little Rock (PMTSR),North Little Rock,Arkansas (AR),https://paulmitchell.edu/littlerock,paulmitchell.edu,https://logo.clearbit.com/paulmitchell.edu
National Park College (NPC),Hot Springs,Arkansas (AR),https://www.np.edu/,np.edu,https://logo.clearbit.com/np.edu
University of Arkansas Community College-Batesville (UACC),Batesville,Arkansas (AR),https://www.uaccb.edu/,uaccb.edu,https://logo.clearbit.com/uaccb.edu
Harding University (HU),Searcy,Arkansas (AR),https://www.harding.edu/,harding.edu,https://logo.clearbit.com/harding.edu
Henderson State University (HSU),Arkadelphia,Arkansas (AR),https://www.hsu.edu/,hsu.edu,https://logo.clearbit.com/hsu.edu
Hendrix College (HC),Conway,Arkansas (AR),https://www.hendrix.edu/,hendrix.edu,https://logo.clearbit.com/hendrix.edu
Hot Springs Beauty College (HSBC),Hot Springs,Arkansas (AR),https://hotspringsbeautycollege.com/,hotspringsbeautycollege.com,https://logo.clearbit.com/hotspringsbeautycollege.com
Jefferson Regional School of Nursing (JRSN),Pine Bluff,Arkansas (AR),https://www.jrmc.org/,jrmc.org,https://logo.clearbit.com/jrmc.org
John Brown University (JBU),Siloam Springs,Arkansas (AR),https://www.jbu.edu/,jbu.edu,https://logo.clearbit.com/jbu.edu
Career Academy of Hair Design (CAHD),Springdale,Arkansas (AR),https://www.beautynwa.com/,beautynwa.com,https://logo.clearbit.com/beautynwa.com
Academy of Salon and Spa (ASS),Fort Smith,Arkansas (AR),https://www.academysalonspa.com/,academysalonspa.com,https://logo.clearbit.com/academysalonspa.com
Arkansas State University Mid-South (ASUM),West Memphis,Arkansas (AR),https://www.asumidsouth.edu/,asumidsouth.edu,https://logo.clearbit.com/asumidsouth.edu
Arkansas Northeastern College (ANC),Blytheville,Arkansas (AR),https://www.anc.edu/,anc.edu,https://logo.clearbit.com/anc.edu
New Tyler Barber College Inc (NTBCI),North Little Rock,Arkansas (AR),https://newtylerbarbercollege.edu/,newtylerbarbercollege.edu,https://logo.clearbit.com/newtylerbarbercollege.edu
North Arkansas College (NAC),Harrison,Arkansas (AR),https://www.northark.edu/,northark.edu,https://logo.clearbit.com/northark.edu
Northwest Technical Institute (NTI),Springdale,Arkansas (AR),https://www.nwti.edu/,nwti.edu,https://logo.clearbit.com/nwti.edu
Ouachita Baptist University (OBU),Arkadelphia,Arkansas (AR),https://obu.edu/,obu.edu,https://logo.clearbit.com/obu.edu
Arkansas State University Three Rivers (ASUTR),Malvern,Arkansas (AR),https://www.asutr.edu/,asutr.edu,https://logo.clearbit.com/asutr.edu
Ozarka College (OC),Melbourne,Arkansas (AR),https://www.ozarka.edu/,ozarka.edu,https://logo.clearbit.com/ozarka.edu
University of the Ozarks (UTO),Clarksville,Arkansas (AR),https://ozarks.edu/,ozarks.edu,https://logo.clearbit.com/ozarks.edu
University of Arkansas Community College-Morrilton (UACC),Morrilton,Arkansas (AR),https://www.uaccm.edu/,uaccm.edu,https://logo.clearbit.com/uaccm.edu
Philander Smith University (PSU),Little Rock,Arkansas (AR),https://www.philander.edu/,philander.edu,https://logo.clearbit.com/philander.edu
Phillips Community College of the University of Arkansas (PCCTUA),Helena,Arkansas (AR),https://www.pccua.edu/,pccua.edu,https://logo.clearbit.com/pccua.edu
Southeast Arkansas College (SAC),Pine Bluff,Arkansas (AR),https://www.seark.edu/,seark.edu,https://logo.clearbit.com/seark.edu
University of Aesthetics & Cosmetology (UAC),El Dorado,Arkansas (AR),https://www.pcec.edu/,pcec.edu,https://logo.clearbit.com/pcec.edu
University of Arkansas-Pulaski Technical College (UATC),North Little Rock,Arkansas (AR),https://uaptc.edu/,uaptc.edu,https://logo.clearbit.com/uaptc.edu
University of Arkansas Hope-Texarkana (UAH),Hope,Arkansas (AR),https://www.uaht.edu/,uaht.edu,https://logo.clearbit.com/uaht.edu
University of Arkansas Community College Rich Mountain (UACCRM),Mena,Arkansas (AR),https://www.uarichmountain.edu/,uarichmountain.edu,https://logo.clearbit.com/uarichmountain.edu
Searcy Beauty College (SBC),Searcy,Arkansas (AR),https://searcybeautycollege.com/,searcybeautycollege.com,https://logo.clearbit.com/searcybeautycollege.com
Shorter College (SC),N Little Rock,Arkansas (AR),https://www.shortercollege.edu/,shortercollege.edu,https://logo.clearbit.com/shortercollege.edu
Williams Baptist University (WBU),Walnut Ridge,Arkansas (AR),https://williamsbaptistuniversity.com/,williamsbaptistuniversity.com,https://logo.clearbit.com/williamsbaptistuniversity.com
South Arkansas College (SAC),El Dorado,Arkansas (AR),https://www.southark.edu/,southark.edu,https://logo.clearbit.com/southark.edu
Southern Arkansas University Main Campus (SAUMC),Magnolia,Arkansas (AR),https://www.saumag.edu/,saumag.edu,https://logo.clearbit.com/saumag.edu
Southern Arkansas University Tech (SAUT),Camden,Arkansas (AR),https://www.sautech.edu/,sautech.edu,https://logo.clearbit.com/sautech.edu
University of Arkansas System Office (UASO),Little Rock,Arkansas (AR),https://www.uasys.edu/,uasys.edu,https://logo.clearbit.com/uasys.edu
